Ürün Adı,Fiyat,Link,Özellikler
pasyone,499 TL,https://www.trendyol.com/pasyone/gunluk-sneaker-ayakkabi-p-779240525?boutiqueId=61&merchantId=325246,"{'Bağlama Şekli': 'Bağcıklı', 'Taban Teknolojisi': 'Termo Taban', 'Materyal': 'Tekstil', 'Dış Materyal': 'Suni Deri', 'Kullanım Alanı': 'Günlük', 'Taban Tipi': 'Düz Taban', 'Renk': 'Bej', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Persona': 'None Persona', 'Topuk Tipi': 'Düz Topuklu', 'Ortam': 'Casual/Günlük', 'Desen': 'Düz'}"

Alessia Shoes,"399,99 TL",https://www.trendyol.com/alessia-shoes/siyah-parlak-postal-kadin-bot-p-157208645?boutiqueId=61&merchantId=907636,"{'Topuk Tipi': 'Kalın Topuklu', 'Bağlama Şekli': 'Bağcıklı', 'Renk': 'Siyah', 'Kalıp': 'Regular'}"

Afilli,285 TL,https://www.trendyol.com/afilli/kadin-siyah-gunluk-spor-ayakkabi-anne-bagciksiz-rahat-hafif-memory-p-95745679?boutiqueId=61&merchantId=431697,"{'Bağlama Şekli': 'Bağcıksız', 'Kullanım Alanı': 'Günlük', 'Renk': 'Siyah', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Ortam': 'Günlük'}"

Weynes,"499,99 TL",https://www.trendyol.com/weynes/kadin-fermuarli-fileli-gunluk-sneaker-spor-ayakkabi-wsb0460-p-696766991?boutiqueId=61&merchantId=119576&advertItems=eyJhZHZlcnRJZCI6ImZkNTAzOTk3LTEyNWItNDMyYS1hOTFhLTlkMzQ1ZWZkMDU1YyIsInNvcnRpbmdTY29yZSI6MC4wMjg3MjM5MDA1NTk0NDA4NzYsImFkU2NvcmUiOjAuMDIwNDk0Nzk0NDczMDUyMDI1LCJhZFNjb3JlcyI6eyIxIjowLjAyMDQ5NDc5NDQ3MzA1MjAyNSwiMiI6MC4wMjA0OTQ3OTQ0NzMwNTIwMjV9LCJjcGMiOjEuNDAxNTIxNzY2NzY5MDcxNiwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjM5ODIxNzcwMjczNDQ4NzgsImFkdmVydFNsb3QiOjEsIm9yZGVyIjozLCJhdHRyaWJ1dGVzIjoiIn0=,"{'Dış Materyal': 'Suni Deri', 'Bağlama Şekli': 'Fermuarlı', 'Kullanım Alanı': 'Günlük', 'Taban Tipi': 'Düz Taban', 'Renk': 'Bej', 'Astar Materyali': 'Tekstil', 'İç Taban Materyali': 'Tekstil', 'Taban Materyali': 'Neolit', 'Topuk Boyu': 'Orta Topuklu (5-9 cm)', 'Ek Özellik': 'Ortopedik Taban', 'Topuk Tipi': 'Düz Topuklu', 'Desen': 'Düz', 'Deri Kalitesi': 'İmitasyon Deri', 'Kumaş Tipi': 'Kumaş'}"

Weynes,"263,87 TL",https://www.trendyol.com/weynes/kadin-siyah-suet-iki-kanca-yuksek-taban-fermuarli-bot-bootie-wsb0208-p-353765686?boutiqueId=61&merchantId=119576,"{'Topuk Boyu': 'Orta Topuklu (5-9 cm)', 'Topuk Tipi': 'Kalın Topuklu', 'Materyal': 'Su Geçirmez', 'Bağlama Şekli': 'Fermuarlı', 'Kullanım Alanı': 'Günlük', 'Renk': 'Siyah', 'Desen': 'Düz', 'Dış Materyal': 'Süet', 'Taban': 'Kauçuk', 'Kalıp': 'Regular', 'Boy / Ölçü': 'Orta', 'Taban Materyali': 'Neolit', 'İç Taban Materyali': 'Tekstil', 'Astar Materyali': 'Tekstil', 'Ek Özellik': 'Su Geçirmez', 'Ortam': 'Günlük', 'Okula Dönüş': 'Üniversite'}"

